table_name,field_name,field_value,language,translation
stops,stop_name,赤城,ja,赤城
stops,stop_name,赤城,en,Akagi
stops,stop_name,成島,ja,成島
stops,stop_name,成島,en,Narushima
stops,stop_name,本中野,ja,本中野
stops,stop_name,本中野,en,Hon-nakano
stops,stop_name,篠塚,ja,篠塚
stops,stop_name,篠塚,en,Shinozuka
stops,stop_name,東小泉,ja,東小泉
stops,stop_name,東小泉,en,Higashi-koizumi
stops,stop_name,小泉町,ja,小泉町
stops,stop_name,小泉町,en,Koizumimachi
stops,stop_name,西小泉,ja,西小泉
stops,stop_name,西小泉,en,Nishi-koizumi
stops,stop_name,竜舞,ja,竜舞
stops,stop_name,竜舞,en,Ryumai
stops,stop_name,杉戸高野台,ja,杉戸高野台
stops,stop_name,杉戸高野台,en,Sugito-takanodai
stops,stop_name,幸手,ja,幸手
stops,stop_name,幸手,en,Satte
stops,stop_name,南栗橋,ja,南栗橋
stops,stop_name,南栗橋,en,Minami-kurihashi
stops,stop_name,栗橋,ja,栗橋
stops,stop_name,栗橋,en,Kurihashi
stops,stop_name,新古河,ja,新古河
stops,stop_name,新古河,en,Shin-koga
stops,stop_name,柳生,ja,柳生
stops,stop_name,柳生,en,Yagyu
stops,stop_name,板倉東洋大前,ja,板倉東洋大前
stops,stop_name,板倉東洋大前,en,Itakura-toyodaimae
stops,stop_name,藤岡,ja,藤岡
stops,stop_name,藤岡,en,Fujioka
stops,stop_name,静和,ja,静和
stops,stop_name,静和,en,Shizuwa
stops,stop_name,新大平下,ja,新大平下
stops,stop_name,新大平下,en,Shin-ohirashita
stops,stop_name,栃木,ja,栃木
stops,stop_name,栃木,en,Tochigi
stops,stop_name,新栃木,ja,新栃木
stops,stop_name,新栃木,en,Shin-tochigi
stops,stop_name,合戦場,ja,合戦場
stops,stop_name,合戦場,en,Kassemba
stops,stop_name,家中,ja,家中
stops,stop_name,家中,en,Ienaka
stops,stop_name,東武金崎,ja,東武金崎
stops,stop_name,東武金崎,en,Tobu-kanasaki
stops,stop_name,楡木,ja,楡木
stops,stop_name,楡木,en,Niregi
stops,stop_name,樅山,ja,樅山
stops,stop_name,樅山,en,Momiyama
stops,stop_name,新鹿沼,ja,新鹿沼
stops,stop_name,新鹿沼,en,Shin-kanuma
stops,stop_name,北鹿沼,ja,北鹿沼
stops,stop_name,北鹿沼,en,Kita-kanuma
stops,stop_name,板荷,ja,板荷
stops,stop_name,板荷,en,Itaga
stops,stop_name,下小代,ja,下小代
stops,stop_name,下小代,en,Shimo-goshiro
stops,stop_name,明神,ja,明神
stops,stop_name,明神,en,Myojin
stops,stop_name,上今市,ja,上今市
stops,stop_name,上今市,en,Kami-imaichi
stops,stop_name,東武日光,ja,東武日光
stops,stop_name,東武日光,en,Tobu-nikko
stops,stop_name,坂戸,ja,坂戸
stops,stop_name,坂戸,en,Sakado
stops,stop_name,一本松,ja,一本松
stops,stop_name,一本松,en,Ippommatsu
stops,stop_name,西大家,ja,西大家
stops,stop_name,西大家,en,Nishi-oya
stops,stop_name,川角,ja,川角
stops,stop_name,川角,en,Kawakado
stops,stop_name,武州長瀬,ja,武州長瀬
stops,stop_name,武州長瀬,en,Bushu-nagase
stops,stop_name,東毛呂,ja,東毛呂
stops,stop_name,東毛呂,en,Higashi-moro
stops,stop_name,武州唐沢,ja,武州唐沢
stops,stop_name,武州唐沢,en,Bushu-karasawa
stops,stop_name,越生,ja,越生
stops,stop_name,越生,en,Ogose
stops,stop_name,渡瀬,ja,渡瀬
stops,stop_name,渡瀬,en,Watarase
stops,stop_name,田島,ja,田島
stops,stop_name,田島,en,Tajima
stops,stop_name,佐野市,ja,佐野市
stops,stop_name,佐野市,en,Sanoshi
stops,stop_name,佐野,ja,佐野
stops,stop_name,佐野,en,Sano
stops,stop_name,堀米,ja,堀米
stops,stop_name,堀米,en,Horigome
stops,stop_name,吉水,ja,吉水
stops,stop_name,吉水,en,Yoshimizu
stops,stop_name,田沼,ja,田沼
stops,stop_name,田沼,en,Tanuma
stops,stop_name,多田,ja,多田
stops,stop_name,多田,en,Tada
stops,stop_name,葛生,ja,葛生
stops,stop_name,葛生,en,Kuzu
stops,stop_name,浅草,ja,浅草
stops,stop_name,浅草,en,Asakusa
stops,stop_name,とうきょうスカイツリー,ja,とうきょうスカイツリー
stops,stop_name,とうきょうスカイツリー,en,TOKYO SKYTREE
stops,stop_name,東向島,ja,東向島
stops,stop_name,東向島,en,Higashi-mukojima
stops,stop_name,鐘ヶ淵,ja,鐘ヶ淵
stops,stop_name,鐘ヶ淵,en,Kanegafuchi
stops,stop_name,堀切,ja,堀切
stops,stop_name,堀切,en,Horikiri
stops,stop_name,牛田,ja,牛田
stops,stop_name,牛田,en,Ushida
stops,stop_name,北千住,ja,北千住
stops,stop_name,北千住,en,Kita-senju
stops,stop_name,小菅,ja,小菅
stops,stop_name,小菅,en,Kosuge
stops,stop_name,五反野,ja,五反野
stops,stop_name,五反野,en,Gotanno
stops,stop_name,梅島,ja,梅島
stops,stop_name,梅島,en,Umejima
stops,stop_name,竹ノ塚,ja,竹ノ塚
stops,stop_name,竹ノ塚,en,Takenotsuka
stops,stop_name,谷塚,ja,谷塚
stops,stop_name,谷塚,en,Yatsuka
stops,stop_name,草加,ja,草加
stops,stop_name,草加,en,Soka
stops,stop_name,獨協大学前<草加松原>,ja,獨協大学前<草加松原>
stops,stop_name,獨協大学前<草加松原>,en,Dokkyodaigakumae<Soka-Matsubara>
stops,stop_name,新田,ja,新田
stops,stop_name,新田,en,Shinden
stops,stop_name,蒲生,ja,蒲生
stops,stop_name,蒲生,en,Gamo
stops,stop_name,新越谷,ja,新越谷
stops,stop_name,新越谷,en,Shin-koshigaya
stops,stop_name,越谷,ja,越谷
stops,stop_name,越谷,en,Koshigaya
stops,stop_name,北越谷,ja,北越谷
stops,stop_name,北越谷,en,Kita-koshigaya
stops,stop_name,大袋,ja,大袋
stops,stop_name,大袋,en,Obukuro
stops,stop_name,せんげん台,ja,せんげん台
stops,stop_name,せんげん台,en,Sengendai
stops,stop_name,武里,ja,武里
stops,stop_name,武里,en,Takesato
stops,stop_name,一ノ割,ja,一ノ割
stops,stop_name,一ノ割,en,Ichinowari
stops,stop_name,春日部,ja,春日部
stops,stop_name,春日部,en,Kasukabe
stops,stop_name,北春日部,ja,北春日部
stops,stop_name,北春日部,en,Kita-kasukabe
stops,stop_name,姫宮,ja,姫宮
stops,stop_name,姫宮,en,Himemiya
stops,stop_name,押上(スカイツリー前),ja,押上(スカイツリー前)
stops,stop_name,押上(スカイツリー前),en,Oshiage(SKYTREE)
stops,stop_name,大宮,ja,大宮
stops,stop_name,大宮,en,Omiya
stops,stop_name,北大宮,ja,北大宮
stops,stop_name,北大宮,en,Kita-omiya
stops,stop_name,大宮公園,ja,大宮公園
stops,stop_name,大宮公園,en,Omiya-koen
stops,stop_name,大和田,ja,大和田
stops,stop_name,大和田,en,Owada
stops,stop_name,七里,ja,七里
stops,stop_name,七里,en,Nanasato
stops,stop_name,岩槻,ja,岩槻
stops,stop_name,岩槻,en,Iwatsuki
stops,stop_name,東岩槻,ja,東岩槻
stops,stop_name,東岩槻,en,Higashi-iwatsuki
stops,stop_name,豊春,ja,豊春
stops,stop_name,豊春,en,Toyoharu
stops,stop_name,八木崎,ja,八木崎
stops,stop_name,八木崎,en,Yagisaki
stops,stop_name,藤の牛島,ja,藤の牛島
stops,stop_name,藤の牛島,en,Fujino-ushijima
stops,stop_name,南桜井,ja,南桜井
stops,stop_name,南桜井,en,Minami-sakurai
stops,stop_name,川間,ja,川間
stops,stop_name,川間,en,Kawama
stops,stop_name,七光台,ja,七光台
stops,stop_name,七光台,en,Nanakodai
stops,stop_name,清水公園,ja,清水公園
stops,stop_name,清水公園,en,Shimizu-koen
stops,stop_name,愛宕,ja,愛宕
stops,stop_name,愛宕,en,Atago
stops,stop_name,野田市,ja,野田市
stops,stop_name,野田市,en,Nodashi
stops,stop_name,梅郷,ja,梅郷
stops,stop_name,梅郷,en,Umesato
stops,stop_name,運河,ja,運河
stops,stop_name,運河,en,Unga
stops,stop_name,江戸川台,ja,江戸川台
stops,stop_name,江戸川台,en,Edogawadai
stops,stop_name,初石,ja,初石
stops,stop_name,初石,en,Hatsuishi
stops,stop_name,流山おおたかの森,ja,流山おおたかの森
stops,stop_name,流山おおたかの森,en,Nagareyama-otakanomori
stops,stop_name,豊四季,ja,豊四季
stops,stop_name,豊四季,en,Toyoshiki
stops,stop_name,柏,ja,柏
stops,stop_name,柏,en,Kashiwa
stops,stop_name,新柏,ja,新柏
stops,stop_name,新柏,en,Shin-kashiwa
stops,stop_name,増尾,ja,増尾
stops,stop_name,増尾,en,Masuo
stops,stop_name,逆井,ja,逆井
stops,stop_name,逆井,en,Sakasai
stops,stop_name,高柳,ja,高柳
stops,stop_name,高柳,en,Takayanagi
stops,stop_name,六実,ja,六実
stops,stop_name,六実,en,Mutsumi
stops,stop_name,新鎌ヶ谷,ja,新鎌ヶ谷
stops,stop_name,新鎌ヶ谷,en,Shin-kamagaya
stops,stop_name,鎌ヶ谷,ja,鎌ヶ谷
stops,stop_name,鎌ヶ谷,en,Kamagaya
stops,stop_name,馬込沢,ja,馬込沢
stops,stop_name,馬込沢,en,Magomezawa
stops,stop_name,塚田,ja,塚田
stops,stop_name,塚田,en,Tsukada
stops,stop_name,新船橋,ja,新船橋
stops,stop_name,新船橋,en,Shin-funabashi
stops,stop_name,船橋,ja,船橋
stops,stop_name,船橋,en,Funabashi
stops,stop_name,池袋,ja,池袋
stops,stop_name,池袋,en,Ikebukuro
stops,stop_name,北池袋,ja,北池袋
stops,stop_name,北池袋,en,Kita-ikebukuro
stops,stop_name,下板橋,ja,下板橋
stops,stop_name,下板橋,en,Shimo-itabashi
stops,stop_name,大山,ja,大山
stops,stop_name,大山,en,Oyama
stops,stop_name,中板橋,ja,中板橋
stops,stop_name,中板橋,en,Naka-itabashi
stops,stop_name,ときわ台,ja,ときわ台
stops,stop_name,ときわ台,en,Tokiwadai
stops,stop_name,上板橋,ja,上板橋
stops,stop_name,上板橋,en,Kami-itabashi
stops,stop_name,東武練馬,ja,東武練馬
stops,stop_name,東武練馬,en,Tobu-nerima
stops,stop_name,下赤塚,ja,下赤塚
stops,stop_name,下赤塚,en,Shimo-akatsuka
stops,stop_name,成増,ja,成増
stops,stop_name,成増,en,Narimasu
stops,stop_name,和光市,ja,和光市
stops,stop_name,和光市,en,Wakoshi
stops,stop_name,朝霞,ja,朝霞
stops,stop_name,朝霞,en,Asaka
stops,stop_name,朝霞台,ja,朝霞台
stops,stop_name,朝霞台,en,Asakadai
stops,stop_name,志木,ja,志木
stops,stop_name,志木,en,Shiki
stops,stop_name,柳瀬川,ja,柳瀬川
stops,stop_name,柳瀬川,en,Yanasegawa
stops,stop_name,みずほ台,ja,みずほ台
stops,stop_name,みずほ台,en,Mizuhodai
stops,stop_name,鶴瀬,ja,鶴瀬
stops,stop_name,鶴瀬,en,Tsuruse
stops,stop_name,ふじみ野,ja,ふじみ野
stops,stop_name,ふじみ野,en,Fujimino
stops,stop_name,上福岡,ja,上福岡
stops,stop_name,上福岡,en,Kami-fukuoka
stops,stop_name,新河岸,ja,新河岸
stops,stop_name,新河岸,en,Shingashi
stops,stop_name,川越,ja,川越
stops,stop_name,川越,en,Kawagoe
stops,stop_name,川越市,ja,川越市
stops,stop_name,川越市,en,Kawagoeshi
stops,stop_name,霞ヶ関,ja,霞ヶ関
stops,stop_name,霞ヶ関,en,Kasumigaseki
stops,stop_name,鶴ヶ島,ja,鶴ヶ島
stops,stop_name,鶴ヶ島,en,Tsurugashima
stops,stop_name,若葉,ja,若葉
stops,stop_name,若葉,en,Wakaba
stops,stop_name,北坂戸,ja,北坂戸
stops,stop_name,北坂戸,en,Kita-sakado
stops,stop_name,高坂,ja,高坂
stops,stop_name,高坂,en,Takasaka
stops,stop_name,東松山,ja,東松山
stops,stop_name,東松山,en,Higashi-matsuyama
stops,stop_name,森林公園,ja,森林公園
stops,stop_name,森林公園,en,Shinrin-koen
stops,stop_name,つきのわ,ja,つきのわ
stops,stop_name,つきのわ,en,Tsukinowa
stops,stop_name,武蔵嵐山,ja,武蔵嵐山
stops,stop_name,武蔵嵐山,en,Musashi-ranzan
stops,stop_name,小川町,ja,小川町
stops,stop_name,小川町,en,Ogawamachi
stops,stop_name,東武竹沢,ja,東武竹沢
stops,stop_name,東武竹沢,en,Tobu-takezawa
stops,stop_name,みなみ寄居<ホンダ寄居前>,ja,みなみ寄居<ホンダ寄居前>
stops,stop_name,みなみ寄居<ホンダ寄居前>,en,Minami-yorii<Honda Yorii-mae>
stops,stop_name,男衾,ja,男衾
stops,stop_name,男衾,en,Obusuma
stops,stop_name,鉢形,ja,鉢形
stops,stop_name,鉢形,en,Hachigata
stops,stop_name,玉淀,ja,玉淀
stops,stop_name,玉淀,en,Tamayodo
stops,stop_name,寄居,ja,寄居
stops,stop_name,寄居,en,Yorii
stops,stop_name,野州平川,ja,野州平川
stops,stop_name,野州平川,en,Yashu-hirakawa
stops,stop_name,野州大塚,ja,野州大塚
stops,stop_name,野州大塚,en,Yashu-otsuka
stops,stop_name,壬生,ja,壬生
stops,stop_name,壬生,en,Mibu
stops,stop_name,国谷,ja,国谷
stops,stop_name,国谷,en,Kuniya
stops,stop_name,おもちゃのまち,ja,おもちゃのまち
stops,stop_name,おもちゃのまち,en,Omochanomachi
stops,stop_name,安塚,ja,安塚
stops,stop_name,安塚,en,Yasuzuka
stops,stop_name,西川田,ja,西川田
stops,stop_name,西川田,en,Nishikawada
stops,stop_name,江曽島,ja,江曽島
stops,stop_name,江曽島,en,Esojima
stops,stop_name,南宇都宮,ja,南宇都宮
stops,stop_name,南宇都宮,en,Minami-utsunomiya
stops,stop_name,東武宇都宮,ja,東武宇都宮
stops,stop_name,東武宇都宮,en,Tobu-utsunomiya
trips,trip_headsign,大師前,ja,大師前
trips,trip_headsign,大師前,en,Daishimae
trips,trip_headsign,西新井,ja,西新井
trips,trip_headsign,西新井,en,Nishiarai
trips,trip_headsign,伊勢崎,ja,伊勢崎
trips,trip_headsign,伊勢崎,en,Isesaki
trips,trip_headsign,太田,ja,太田
trips,trip_headsign,太田,en,Ota
trips,trip_headsign,館林,ja,館林
trips,trip_headsign,館林,en,Tatebayashi
trips,trip_headsign,赤城,ja,赤城
trips,trip_headsign,赤城,en,Akagi
trips,trip_headsign,浅草,ja,浅草
trips,trip_headsign,浅草,en,Asakusa
trips,trip_headsign,東武動物公園,ja,東武動物公園
trips,trip_headsign,東武動物公園,en,Tobu-dobutsu-koen
trips,trip_headsign,久喜,ja,久喜
trips,trip_headsign,久喜,en,Kuki
trips,trip_headsign,葛生,ja,葛生
trips,trip_headsign,葛生,en,Kuzu
trips,trip_headsign,中央林間,ja,中央林間
trips,trip_headsign,中央林間,en,Chuo-rinkan
trips,trip_headsign,恵比寿,ja,恵比寿
trips,trip_headsign,恵比寿,en,Ebisu
trips,trip_headsign,長津田,ja,長津田
trips,trip_headsign,長津田,en,Nagatsuta
trips,trip_headsign,亀戸,ja,亀戸
trips,trip_headsign,亀戸,en,Kameido
trips,trip_headsign,曳舟,ja,曳舟
trips,trip_headsign,曳舟,en,Hikifune
trips,trip_headsign,新藤原,ja,新藤原
trips,trip_headsign,新藤原,en,Shin-fujiwara
trips,trip_headsign,鬼怒川温泉,ja,鬼怒川温泉
trips,trip_headsign,鬼怒川温泉,en,Kinugawa-onsen
trips,trip_headsign,下今市,ja,下今市
trips,trip_headsign,下今市,en,Shimo-imaichi
trips,trip_headsign,南栗橋,ja,南栗橋
trips,trip_headsign,南栗橋,en,Minami-kurihashi
trips,trip_headsign,会津田島,ja,会津田島
trips,trip_headsign,会津田島,en,Aizu-tajima
trips,trip_headsign,新宿,ja,新宿
trips,trip_headsign,新宿,en,Shinjuku
trips,trip_headsign,東小泉,ja,東小泉
trips,trip_headsign,東小泉,en,Higashi-koizumi
trips,trip_headsign,西小泉,ja,西小泉
trips,trip_headsign,西小泉,en,Nishi-koizumi
trips,trip_headsign,東武宇都宮,ja,東武宇都宮
trips,trip_headsign,東武宇都宮,en,Tobu-utsunomiya
trips,trip_headsign,東武日光,ja,東武日光
trips,trip_headsign,東武日光,en,Tobu-nikko
trips,trip_headsign,新栃木,ja,新栃木
trips,trip_headsign,新栃木,en,Shin-tochigi
trips,trip_headsign,新鹿沼,ja,新鹿沼
trips,trip_headsign,新鹿沼,en,Shin-kanuma
trips,trip_headsign,栃木,ja,栃木
trips,trip_headsign,栃木,en,Tochigi
trips,trip_headsign,中目黒,ja,中目黒
trips,trip_headsign,中目黒,en,Naka-meguro
trips,trip_headsign,南千住,ja,南千住
trips,trip_headsign,南千住,en,Minami-senju
trips,trip_headsign,北千住,ja,北千住
trips,trip_headsign,北千住,en,Kita-senju
trips,trip_headsign,押上,ja,押上
trips,trip_headsign,押上,en,Oshiage
trips,trip_headsign,越生,ja,越生
trips,trip_headsign,越生,en,Ogose
trips,trip_headsign,坂戸,ja,坂戸
trips,trip_headsign,坂戸,en,Sakado
trips,trip_headsign,北春日部,ja,北春日部
trips,trip_headsign,北春日部,en,Kita-kasukabe
trips,trip_headsign,春日部,ja,春日部
trips,trip_headsign,春日部,en,Kasukabe
trips,trip_headsign,北越谷,ja,北越谷
trips,trip_headsign,北越谷,en,Kita-koshigaya
trips,trip_headsign,六本木,ja,六本木
trips,trip_headsign,六本木,en,Roppongi
trips,trip_headsign,竹ノ塚,ja,竹ノ塚
trips,trip_headsign,竹ノ塚,en,Takenotsuka
trips,trip_headsign,草加,ja,草加
trips,trip_headsign,草加,en,Soka
trips,trip_headsign,鷺沼,ja,鷺沼
trips,trip_headsign,鷺沼,en,Saginuma
trips,trip_headsign,船橋,ja,船橋
trips,trip_headsign,船橋,en,Funabashi
trips,trip_headsign,柏,ja,柏
trips,trip_headsign,柏,en,Kashiwa
trips,trip_headsign,野田市,ja,野田市
trips,trip_headsign,野田市,en,Nodashi
trips,trip_headsign,高柳,ja,高柳
trips,trip_headsign,高柳,en,Takayanagi
trips,trip_headsign,大宮,ja,大宮
trips,trip_headsign,大宮,en,Omiya
trips,trip_headsign,七光台,ja,七光台
trips,trip_headsign,七光台,en,Nanakodai
trips,trip_headsign,岩槻,ja,岩槻
trips,trip_headsign,岩槻,en,Iwatsuki
trips,trip_headsign,運河,ja,運河
trips,trip_headsign,運河,en,Unga
trips,trip_headsign,小川町,ja,小川町
trips,trip_headsign,小川町,en,Ogawamachi
trips,trip_headsign,川越市,ja,川越市
trips,trip_headsign,川越市,en,Kawagoeshi
trips,trip_headsign,志木,ja,志木
trips,trip_headsign,志木,en,Shiki
trips,trip_headsign,森林公園,ja,森林公園
trips,trip_headsign,森林公園,en,Shinrin-koen
trips,trip_headsign,上福岡,ja,上福岡
trips,trip_headsign,上福岡,en,Kami-fukuoka
trips,trip_headsign,池袋,ja,池袋
trips,trip_headsign,池袋,en,Ikebukuro
trips,trip_headsign,新木場,ja,新木場
trips,trip_headsign,新木場,en,Shin-kiba
trips,trip_headsign,元町・中華街,ja,元町・中華街
trips,trip_headsign,元町・中華街,en,Motomachi-chukagai
trips,trip_headsign,湘南台,ja,湘南台
trips,trip_headsign,湘南台,en,Shonandai
trips,trip_headsign,海老名,ja,海老名
trips,trip_headsign,海老名,en,Ebina
trips,trip_headsign,武蔵小杉,ja,武蔵小杉
trips,trip_headsign,武蔵小杉,en,Musashi-kosugi
trips,trip_headsign,寄居,ja,寄居
trips,trip_headsign,寄居,en,Yorii
trips,trip_headsign,成増,ja,成増
trips,trip_headsign,成増,en,Narimasu
