fare_id,route_id,origin_id,destination_id,contains_id
1089,,1001,1118,
1089,,1001,1119,
1089,,1001,1120,
1089,,1001,1408,
1089,,1001,1409,
1089,,1001,1410,
1089,,1001,1509,
1089,,1001,1601,
1089,,1001,1602,
1089,,1001,1714,
1089,,1001,1715,
1089,,1001,1716,
1089,,1001,1802,
1089,,1001,1803,
1089,,1001,1804,
1089,,1001,1805,
1089,,1002,1118,
1089,,1002,1119,
1089,,1002,1120,
1089,,1002,1408,
1089,,1002,1409,
1089,,1002,1410,
1089,,1002,1509,
1089,,1002,1601,
1089,,1002,1602,
1089,,1002,1603,
1089,,1002,1715,
1089,,1002,1716,
1089,,1002,1803,
1089,,1002,1804,
1089,,1002,1805,
1089,,1003,1118,
1089,,1003,1119,
1089,,1003,1120,
1089,,1003,1408,
1089,,1003,1409,
1089,,1003,1410,
1089,,1003,1509,
1089,,1003,1601,
1089,,1003,1602,
1089,,1003,1603,
1089,,1003,1715,
1089,,1003,1716,
1089,,1003,1803,
1089,,1003,1804,
1089,,1003,1805,
1089,,1004,1119,
1089,,1004,1120,
1089,,1004,1121,
1089,,1004,1409,
1089,,1004,1410,
1089,,1004,1509,
1089,,1004,1601,
1089,,1004,1602,
1089,,1004,1603,
1089,,1004,1715,
1089,,1004,1716,
1089,,1004,1717,
1089,,1004,1803,
1089,,1004,1804,
1089,,1004,1805,
1089,,1004,1806,
1089,,1005,1119,
1089,,1005,1120,
1089,,1005,1121,
1089,,1005,1409,
1089,,1005,1410,
1089,,1005,1509,
1089,,1005,1601,
1089,,1005,1602,
1089,,1005,1603,
1089,,1005,1715,
1089,,1005,1716,
1089,,1005,1717,
1089,,1005,1804,
1089,,1005,1805,
1089,,1005,1806,
1089,,1006,1119,
1089,,1006,1120,
1089,,1006,1121,
1089,,1006,1122,
1089,,1006,1410,
1089,,1006,1509,
1089,,1006,1601,
1089,,1006,1602,
1089,,1006,1603,
1089,,1006,1716,
1089,,1006,1717,
1089,,1006,1804,
1089,,1006,1805,
1089,,1006,1806,
1089,,1006,1807,
1089,,1007,1120,
1089,,1007,1121,
1089,,1007,1122,
1089,,1007,1410,
1089,,1007,1602,
1089,,1007,1603,
1089,,1007,1604,
1089,,1007,1716,
1089,,1007,1717,
1089,,1007,1718,
1089,,1007,1804,
1089,,1007,1805,
1089,,1007,1806,
1089,,1007,1807,
1089,,1008,1120,
1089,,1008,1121,
1089,,1008,1122,
1089,,1008,1410,
1089,,1008,1602,
1089,,1008,1603,
1089,,1008,1604,
1089,,1008,1716,
1089,,1008,1717,
1089,,1008,1718,
1089,,1008,1804,
1089,,1008,1805,
1089,,1008,1806,
1089,,1008,1807,
1089,,1009,1120,
1089,,1009,1121,
1089,,1009,1122,
1089,,1009,1123,
1089,,1009,1602,
1089,,1009,1603,
1089,,1009,1604,
1089,,1009,1716,
1089,,1009,1717,
1089,,1009,1718,
1089,,1009,1805,
1089,,1009,1806,
1089,,1009,1807,
1089,,1010,1121,
1089,,1010,1122,
1089,,1010,1123,
1089,,1010,1603,
1089,,1010,1604,
1089,,1010,1605,
1089,,1010,1717,
1089,,1010,1718,
1089,,1010,1719,
1089,,1010,1805,
1089,,1010,1806,
1089,,1010,1807,
1089,,1010,1808,
1089,,1011,1121,
1089,,1011,1122,
1089,,1011,1123,
1089,,1011,1603,
1089,,1011,1604,
1089,,1011,1605,
1089,,1011,1606,
1089,,1011,1717,
1089,,1011,1718,
1089,,1011,1719,
1089,,1011,1805,
1089,,1011,1806,
1089,,1011,1807,
1089,,1011,1808,
1089,,1011,1809,
1089,,1012,1121,
1089,,1012,1122,
1089,,1012,1123,
1089,,1012,1124,
1089,,1012,1603,
1089,,1012,1604,
1089,,1012,1605,
1089,,1012,1606,
1089,,1012,1717,
1089,,1012,1718,
1089,,1012,1719,
1089,,1012,1806,
1089,,1012,1807,
1089,,1012,1808,
1089,,1012,1809,
1089,,1013,1122,
1089,,1013,1123,
1089,,1013,1124,
1089,,1013,1604,
1089,,1013,1605,
1089,,1013,1606,
1089,,1013,1717,
1089,,1013,1718,
1089,,1013,1719,
1089,,1013,1720,
1089,,1013,1806,
1089,,1013,1807,
1089,,1013,1808,
1089,,1013,1809,
1089,,1013,1810,
1089,,1014,1122,
1089,,1014,1123,
1089,,1014,1124,
1089,,1014,1125,
1089,,1014,1604,
1089,,1014,1605,
1089,,1014,1606,
1089,,1014,1607,
1089,,1014,1718,
1089,,1014,1719,
1089,,1014,1720,
1089,,1014,1807,
1089,,1014,1808,
1089,,1014,1809,
1089,,1014,1810,
1089,,1014,1811,
1089,,1015,1123,
1089,,1015,1124,
1089,,1015,1125,
1089,,1015,1126,
1089,,1015,1605,
1089,,1015,1606,
1089,,1015,1607,
1089,,1015,1608,
1089,,1015,1719,
1089,,1015,1720,
1089,,1015,1721,
1089,,1015,1808,
1089,,1015,1809,
1089,,1015,1810,
1089,,1015,1811,
1089,,1016,1124,
1089,,1016,1125,
1089,,1016,1126,
1089,,1016,1605,
1089,,1016,1606,
1089,,1016,1607,
1089,,1016,1608,
1089,,1016,1719,
1089,,1016,1720,
1089,,1016,1721,
1089,,1016,1809,
1089,,1016,1810,
1089,,1016,1811,
1089,,1017,1124,
1089,,1017,1125,
1089,,1017,1126,
1089,,1017,1606,
1089,,1017,1607,
1089,,1017,1608,
1089,,1017,1720,
1089,,1017,1721,
1089,,1017,1810,
1089,,1017,1811,
1089,,1018,1125,
1089,,1018,1126,
1089,,1018,1607,
1089,,1018,1608,
1089,,1018,1720,
1089,,1018,1721,
1089,,1018,1722,
1089,,1018,1810,
1089,,1018,1811,
1089,,1019,1125,
1089,,1019,1126,
1089,,1019,1608,
1089,,1019,1721,
1089,,1019,1722,
1089,,1019,1811,
1089,,1020,1125,
1089,,1020,1126,
1089,,1020,1608,
1089,,1020,1721,
1089,,1020,1722,
1089,,1020,1723,
1089,,1020,1811,
1089,,1021,1126,
1089,,1021,1608,
1089,,1021,1721,
1089,,1021,1722,
1089,,1021,1723,
1089,,1022,1722,
1089,,1022,1723,
1089,,1023,1722,
1089,,1023,1723,
1089,,1023,1724,
1089,,1023,1901,
1089,,1024,1723,
1089,,1024,1724,
1089,,1024,1725,
1089,,1024,1901,
1089,,1024,1902,
1089,,1025,1723,
1089,,1025,1724,
1089,,1025,1725,
1089,,1025,1901,
1089,,1025,1902,
1089,,1026,1724,
1089,,1026,1725,
1089,,1026,1901,
1089,,1026,1902,
1089,,1027,1724,
1089,,1027,1725,
1089,,1027,1901,
1089,,1027,1902,
1089,,1027,1903,
1089,,1028,1724,
1089,,1028,1725,
1089,,1028,1726,
1089,,1028,1901,
1089,,1028,1902,
1089,,1028,1903,
1089,,1028,1904,
1089,,1029,1725,
1089,,1029,1726,
1089,,1029,1902,
1089,,1029,1903,
1089,,1029,1904,
1089,,1029,1905,
1089,,1030,1726,
1089,,1030,1903,
1089,,1030,1904,
1089,,1030,1905,
1089,,1030,1906,
1089,,1030,1907,
1089,,1101,1726,
1089,,1101,1903,
1089,,1101,1904,
1089,,1101,1905,
1089,,1101,1906,
1089,,1101,1907,
1089,,1102,1724,
1089,,1102,1725,
1089,,1102,1726,
1089,,1102,1901,
1089,,1102,1902,
1089,,1102,1903,
1089,,1102,1904,
1089,,1103,1724,
1089,,1103,1725,
1089,,1103,1901,
1089,,1103,1902,
1089,,1103,1903,
1089,,1104,1723,
1089,,1104,1724,
1089,,1104,1725,
1089,,1104,1901,
1089,,1104,1902,
1089,,1105,1722,
1089,,1105,1723,
1089,,1106,1721,
1089,,1106,1722,
1089,,1106,1723,
1089,,1107,1720,
1089,,1107,1721,
1089,,1107,1809,
1089,,1107,1810,
1089,,1107,1811,
1089,,1108,1719,
1089,,1108,1720,
1089,,1108,1808,
1089,,1108,1809,
1089,,1108,1810,
1089,,1108,1811,
1089,,1109,1717,
1089,,1109,1718,
1089,,1109,1719,
1089,,1109,1720,
1089,,1109,1807,
1089,,1109,1808,
1089,,1109,1809,
1089,,1109,1810,
1089,,1110,1717,
1089,,1110,1718,
1089,,1110,1719,
1089,,1110,1805,
1089,,1110,1806,
1089,,1110,1807,
1089,,1110,1808,
1089,,1110,1809,
1089,,1111,1716,
1089,,1111,1717,
1089,,1111,1718,
1089,,1111,1805,
1089,,1111,1806,
1089,,1111,1807,
1089,,1111,1808,
1089,,1112,1716,
1089,,1112,1717,
1089,,1112,1804,
1089,,1112,1805,
1089,,1112,1806,
1089,,1112,2035,
1089,,1113,1714,
1089,,1113,1715,
1089,,1113,1716,
1089,,1113,1802,
1089,,1113,1803,
1089,,1113,1804,
1089,,1113,1805,
1089,,1113,2033,
1089,,1113,2034,
1089,,1113,2035,
1089,,1114,1713,
1089,,1114,1714,
1089,,1114,1715,
1089,,1114,1716,
1089,,1114,1801,
1089,,1114,1802,
1089,,1114,1803,
1089,,1114,1804,
1089,,1114,2032,
1089,,1114,2033,
1089,,1114,2034,
1089,,1114,2035,
1089,,1115,1713,
1089,,1115,1714,
1089,,1115,1715,
1089,,1115,1801,
1089,,1115,1802,
1089,,1115,1803,
1089,,1115,1804,
1089,,1115,2032,
1089,,1115,2033,
1089,,1115,2034,
1089,,1115,2035,
1089,,1116,1712,
1089,,1116,1713,
1089,,1116,1714,
1089,,1116,1715,
1089,,1116,1801,
1089,,1116,1802,
1089,,1116,1803,
1089,,1116,2031,
1089,,1116,2032,
1089,,1116,2033,
1089,,1116,2034,
1089,,1116,2035,
1089,,1117,1712,
1089,,1117,1713,
1089,,1117,1714,
1089,,1117,1715,
1089,,1117,1801,
1089,,1117,1802,
1089,,1117,1803,
1089,,1117,2030,
1089,,1117,2031,
1089,,1117,2032,
1089,,1117,2033,
1089,,1117,2034,
1089,,1118,1001,
1089,,1118,1002,
1089,,1118,1003,
1089,,1118,1302,
1089,,1118,1303,
1089,,1118,1304,
1089,,1118,1305,
1089,,1118,1711,
1089,,1118,1712,
1089,,1118,1713,
1089,,1118,1801,
1089,,1118,2028,
1089,,1118,2029,
1089,,1118,2030,
1089,,1118,2031,
1089,,1118,2032,
1089,,1119,1001,
1089,,1119,1002,
1089,,1119,1003,
1089,,1119,1004,
1089,,1119,1005,
1089,,1119,1006,
1089,,1119,1301,
1089,,1119,1302,
1089,,1119,1303,
1089,,1119,1304,
1089,,1119,1305,
1089,,1119,1710,
1089,,1119,1711,
1089,,1119,1712,
1089,,1119,2026,
1089,,1119,2027,
1089,,1119,2028,
1089,,1119,2029,
1089,,1119,2030,
1089,,1119,2031,
1089,,1120,1001,
1089,,1120,1002,
1089,,1120,1003,
1089,,1120,1004,
1089,,1120,1005,
1089,,1120,1006,
1089,,1120,1007,
1089,,1120,1008,
1089,,1120,1009,
1089,,1120,1301,
1089,,1120,1302,
1089,,1120,1303,
1089,,1120,1304,
